Date;Soybeans_Futures;Agriculture_ETF;Soybean_ETF;Corn_ETF;ADM;Bunge;Corteva;FMC;Mosaic;Andersons;VillageFarms;Nutrien;CFIndustries;Deere
2019-05-24;829.75;14.13525;14.74;16.129999;32.378658;41.552689;26.668961;58.700371;19.073685;23.721043;13.19;38.411144;34.77597;126.257004
2019-05-28;856.0;14.361137;15.19;16.639999;31.899094;41.610233;26.452845;59.122501;18.826435;23.162596;13.18;38.163967;34.307175;125.003044
2019-05-29;872.0;14.361137;15.39;16.58;31.866011;42.588421;26.209152;60.107456;18.897076;23.325834;12.72;38.722153;33.949192;128.237854
2019-05-30;889.0;14.552269;15.63;17.02;31.799871;42.070545;26.485033;60.695126;18.78228;23.437523;12.7;39.049091;34.596973;128.73764
2019-05-31;877.75;14.439326;15.47;16.709999;31.684116;42.982979;24.80213;60.794456;18.958885;23.343019;12.1;38.8657;34.298653;127.365601
2019-06-03;879.0;14.413263;15.48;16.639999;32.229824;44.881828;22.81575;61.870461;19.45339;23.025133;11.89;39.679039;35.29591;130.200546
2019-06-04;881.75;14.465389;15.51;16.75;32.76725;45.005135;25.519434;64.676361;20.062685;23.763998;12.43;40.899078;37.085842;132.317719
2019-06-05;869.75;14.265569;15.36;16.35;32.469593;44.824284;25.758533;65.065369;19.690996;23.583582;12.8;40.962875;36.242023;132.8629
2019-06-06;868.75;14.456701;15.32;16.559999;32.833408;45.292839;24.737751;65.802017;19.876842;22.741619;12.88;41.305756;36.966522;133.108246
2019-06-07;856.25;14.300319;15.12;16.389999;32.725922;45.333931;24.195179;66.811829;19.602497;22.93063;13.13;41.186142;35.824356;135.125458
2019-06-10;858.5;14.413263;15.25;16.469999;33.122795;46.36145;23.275558;66.157951;19.690996;23.351606;13.44;41.369549;35.747646;136.124939
2019-06-11;859.25;14.474077;15.17;16.75;33.213757;46.197041;22.944494;65.959297;19.814898;23.514851;13.01;41.832058;35.866989;136.297546
2019-06-12;878.0;14.552269;15.49;16.799999;33.668503;46.936859;23.05485;66.14138;20.053837;23.214148;12.64;42.23872;36.744907;135.198181
2019-06-13;888.0;14.569647;15.63;17.059999;33.908291;47.265671;22.962889;66.613167;20.213135;23.592169;12.85;42.302521;38.475178;137.687805
2019-06-14;896.75;14.578335;15.7;17.25;33.726376;47.561584;23.165211;66.14138;19.788342;23.592169;11.66;42.477951;39.20821;137.669662
2019-06-17;912.75;14.682589;15.91;17.41;33.68504;47.273876;23.864122;65.876534;20.602535;23.583582;12.22;42.605534;39.659958;140.268387
2019-06-18;913.5;14.604396;15.9;17.209999;34.065384;47.660217;25.1056;66.778709;21.292826;24.081886;12.28;43.203598;40.248074;144.820755
2019-06-19;903.25;14.543582;15.74;16.940001;33.660233;47.150593;24.967659;67.904366;20.770679;24.004559;12.5;43.235493;39.608807;145.32959
2019-06-20;915.5;14.560959;15.96;17.17;34.148064;47.356079;24.976852;67.920929;20.912279;23.953012;12.67;43.697979;39.941231;147.891922
2019-06-21;902.75;14.395887;15.73;17.02;33.966171;47.306755;25.022837;68.367874;20.726431;23.781187;11.69;43.666088;39.864525;149.273117
2019-06-24;909.0;14.42195;15.86;17.120001;33.676773;47.257439;25.758533;67.71402;20.735287;23.205555;11.32;43.76178;40.103176;151.635651
2019-06-25;903.5;14.491454;15.75;17.1;33.420464;45.933998;25.445862;68.376175;21.381319;23.686676;10.85;43.14777;40.469688;151.117691
2019-06-26;894.25;14.500142;15.6;17.0;33.486599;45.728512;26.908052;69.013496;21.363625;23.48048;11.24;43.052082;39.890083;150.945007
2019-06-27;887.75;14.552269;15.53;16.9;33.544487;45.292839;27.193138;69.10498;21.584866;23.265696;11.47;43.15657;40.17989;150.452164
2019-06-28;899.75;14.395887;15.73;16.440001;33.734642;45.794258;27.193138;68.988548;22.151262;23.551004;11.44;42.971699;39.813377;151.264557
2019-07-01;885.5;14.378512;15.48;16.1;34.230751;46.27103;27.294294;70.718445;22.363659;23.542362;11.6;43.253033;39.651424;150.744232
2019-07-02;876.25;14.309007;15.36;16.32;34.305168;46.369675;26.65976;69.445976;21.814966;23.118721;11.29;43.204803;39.455391;150.735062
2019-07-03;885.25;14.500142;15.49;16.76;34.619354;46.632717;26.485033;70.518837;21.912317;23.39538;10.97;42.521564;39.753704;150.881149
2019-07-05;872.25;14.413263;15.27;16.77;34.677235;46.534069;26.337891;70.435677;21.947714;23.576939;11.53;43.01189;39.463902;149.174179
2019-07-08;875.25;14.413263;15.35;16.75;34.594559;46.829994;25.537821;69.645569;21.283978;23.47319;11.4;42.159851;38.799072;149.60321
2019-07-09;882.75;14.456701;15.49;16.549999;34.536674;47.093037;24.820522;68.472893;20.646786;23.282988;11.28;41.356045;37.835918;149.110275
2019-07-10;893.0;14.474077;15.61;16.639999;34.561474;47.010849;24.369909;67.815857;20.425529;23.317566;10.65;40.721031;37.691013;146.791687
2019-07-11;896.25;14.569647;15.71;16.9;34.503601;46.484756;24.305534;68.780617;19.903391;23.248404;10.04;40.230698;38.30471;147.202438
2019-07-12;906.75;14.673901;15.9;17.25;34.660698;46.739574;25.381491;69.246368;20.354736;23.568298;9.28;40.142281;39.3531;150.954163
2019-07-15;901.75;14.517516;15.7;16.870001;34.511871;46.673805;25.822905;69.8535;20.682188;23.300278;9.41;40.375397;40.810631;151.529282
2019-07-16;887.75;14.404574;15.45;16.709999;33.751179;45.901112;25.620588;70.252724;20.98308;23.282988;9.27;40.962177;40.665726;151.666153
2019-07-17;882.5;14.361137;15.38;16.719999;33.329506;45.761383;24.71936;69.404366;21.115826;22.582682;9.69;41.034523;40.418549;148.863815
2019-07-18;881.25;14.256879;15.39;16.450001;33.205486;45.892899;24.507845;69.695496;21.089273;22.306017;9.79;41.058636;40.043514;149.009903
2019-07-19;901.5;14.42195;15.7;16.639999;33.2799;45.679176;25.188366;69.33786;21.434423;22.79018;10.18;41.388195;40.196934;151.173264
2019-07-22;888.25;14.34376;15.45;16.35;33.387375;46.31213;25.528629;70.177834;21.460968;22.470287;10.69;41.323895;40.350349;150.744232
2019-07-23;885.75;14.387198;15.46;16.48;33.519676;46.829994;25.859692;70.602005;21.938869;22.634554;10.69;41.878517;41.202705;153.674408
2019-07-24;891.0;14.387198;15.55;16.440001;33.544487;46.747791;26.043613;71.350525;21.974264;23.066841;10.86;41.693642;41.697063;152.606369
2019-07-25;882.5;14.265569;15.39;16.4;33.635437;46.550507;25.767729;70.89312;21.460968;22.850697;11.05;40.70496;41.236794;152.359924
2019-07-26;883.25;14.204753;15.39;16.299999;33.561012;46.797115;26.190752;71.167564;21.514071;23.187885;11.37;40.857685;41.040768;155.536591
2019-07-29;885.75;14.178688;15.52;16.379999;33.817337;46.509411;26.46664;69.920029;21.098127;22.980387;11.4;40.624577;40.503777;155.417877
2019-07-30;878.75;14.057057;15.35;16.17;33.858677;46.328571;26.910055;70.527176;22.345959;23.058197;11.765;43.574558;42.396008;155.207962
2019-07-31;864.0;13.848547;15.16;15.86;33.966171;48.030128;27.251863;71.874489;22.292858;23.213818;11.37;44.05685;42.24258;151.209778
2019-08-01;847.0;13.683477;14.92;15.67;34.024044;47.610909;28.8685;70.743401;22.195511;22.781532;11.09;43.277157;44.620632;147.156815
2019-08-02;850.25;13.666101;14.98;15.88;33.131058;47.010849;29.062489;71.458649;21.584866;22.210918;12.0;43.019928;44.901917;144.865646
2019-08-05;850.25;13.674789;14.92;16.059999;31.237625;45.457245;27.621376;67.882393;20.885731;21.303108;11.7;41.878517;43.248348;137.891663
2019-08-06;847.75;13.54447;14.92;15.91;30.93997;46.090183;27.759949;69.911713;19.487446;21.311756;11.79;41.420349;43.418823;139.461655
2019-08-07;848.75;13.527095;14.92;16.040001;30.824209;46.254589;28.304987;70.610329;20.106939;21.960182;11.68;41.573071;43.001171;138.055923
2019-08-08;865.0;13.622662;15.22;16.139999;31.667574;47.758865;29.201061;73.845589;20.416685;22.772886;12.88;42.384914;44.450169;141.542953
2019-08-09;873.75;13.683477;15.34;16.139999;31.717186;47.035492;29.219536;73.454704;20.00074;22.063938;13.53;42.296505;43.504063;141.342041
2019-08-12;861.5;13.231706;15.09;15.25;30.923433;43.86253;27.371954;71.167564;18.372364;21.683523;13.35;40.504005;41.671494;134.231186
2019-08-13;872.0;13.188266;15.31;15.02;31.221092;43.952957;27.344242;71.907791;18.239616;21.579777;13.63;40.359318;41.569233;134.340744
2019-08-14;861.0;13.214331;15.1;14.82;30.402523;43.8461;26.180262;69.720421;17.381168;20.74114;13.44;39.290245;40.480045;130.689392
2019-08-15;858.0;13.144826;15.0;14.82;30.394258;44.240669;26.254168;69.479233;17.07143;21.069675;12.12;39.258099;40.25705;131.182373
2019-08-16;867.25;13.101386;15.15;15.1;31.287224;45.103764;27.935467;71.184181;17.469675;21.597067;12.73;40.013672;41.320511;136.221161
2019-08-19;854.0;13.057946;14.92;14.92;31.444332;45.634689;28.240318;71.699837;17.682072;21.259884;12.83;40.303055;41.783627;139.105667
2019-08-20;855.75;13.066635;14.99;14.8;30.989569;44.713875;27.953945;71.017845;17.142233;21.208006;12.33;39.611771;41.200443;138.840988
2019-08-21;860.5;13.092699;15.04;14.83;31.456966;45.377533;28.249554;71.674896;16.87673;21.372282;12.13;39.668049;41.929409;141.360367
2019-08-22;856.0;13.136138;14.95;14.81;31.657274;45.543449;27.981661;71.575104;16.87673;21.026447;11.75;39.860958;41.629246;141.825867
2019-08-23;843.25;12.979755;14.77;14.7;31.239973;44.149769;26.836153;68.880417;15.938645;19.859274;10.97;38.60701;40.411423;134.203781
2019-08-26;853.75;13.144826;14.92;14.75;31.557119;44.390339;26.808443;69.470932;15.894391;20.282911;10.82;39.193798;40.514336;137.663406
2019-08-27;846.25;13.049259;14.81;14.64;31.231621;43.618835;26.540545;69.229729;15.628899;19.772818;10.3;39.161644;40.042633;137.015289
2019-08-28;852.75;13.08401;14.92;14.8;31.35681;43.502708;26.947008;69.903419;15.805898;19.764175;10.52;39.579624;40.574379;139.406921
2019-08-29;856.25;13.031882;14.96;14.8;31.490353;43.652023;27.445858;71.125969;16.257238;19.859274;10.5;40.1021;41.389114;142.839157
2019-08-30;857.0;13.014506;14.96;14.75;31.757429;44.307384;27.085583;71.799644;16.274933;19.816042;10.5;40.479897;41.329082;141.406067
2019-09-03;856.5;13.005819;14.97;14.51;31.707355;44.265903;26.07864;70.776665;15.858997;19.331884;10.8;39.539429;40.522907;137.672546
2019-09-04;862.5;13.057946;15.05;14.43;31.916014;44.713875;26.263407;72.115692;16.116354;19.340527;11.53;40.142281;40.960312;138.49411
2019-09-05;849.75;12.96238;14.84;14.47;32.241512;45.80891;26.291119;72.756096;17.199066;19.323231;11.55;41.315853;41.311935;142.67482
2019-09-06;845.0;12.892876;14.78;14.32;32.308277;46.290062;26.226454;72.689552;17.341059;19.046576;11.92;41.524837;41.715019;142.875687
2019-09-09;845.0;12.892876;14.83;14.3;33.109516;47.368504;26.559017;72.373505;17.909039;20.02354;11.8;41.074707;41.895126;144.555267
2019-09-10;859.25;13.101386;15.05;14.61;33.626987;47.277248;26.383499;72.024223;18.974001;22.15904;12.25;42.031242;43.550339;149.740082
2019-09-11;854.0;13.127449;14.94;14.51;34.261299;48.090237;27.039387;73.912148;19.515352;22.945803;12.03;41.613262;43.207291;150.753326
2019-09-12;883.0;13.379399;15.41;14.77;34.595158;47.70034;27.621376;74.818672;19.506474;23.447256;11.68;41.050591;42.109531;149.028091
2019-09-13;884.75;13.414152;15.44;14.79;34.745392;47.144512;27.824615;75.725197;20.101074;24.009233;11.69;41.573071;42.804203;150.999771
2019-09-16;900.0;13.54447;15.47;14.99;35.020805;47.965786;27.159481;75.758476;20.385063;24.372351;10.9;41.645416;44.030609;150.242203
2019-09-17;893.75;13.431528;15.38;14.71;34.87891;47.00349;26.771494;75.392548;19.3556;24.199436;10.92;41.565029;43.378822;149.694489
2019-09-18;888.75;13.431528;15.3;14.79;34.77877;47.268951;26.928534;75.583824;19.142611;23.628817;10.52;41.589153;43.43885;150.963318
2019-09-19;893.0;13.474967;15.36;14.81;34.136112;46.58041;26.919294;75.176292;18.627882;23.205177;10.63;41.870476;42.889965;150.105255
2019-09-20;882.75;13.396775;15.18;14.73;34.136112;46.422794;26.716061;74.768776;18.361649;22.669138;10.4;41.452499;42.27248;149.767517
2019-09-23;892.5;13.492342;15.28;14.76;33.718792;46.431084;26.67911;73.770744;18.539135;22.236855;10.43;40.471844;42.804203;150.808105
2019-09-24;894.25;13.518407;15.33;14.86;33.326527;46.082668;26.087891;73.138649;17.793663;20.213745;9.44;39.949379;41.920841;151.492767
2019-09-25;889.25;13.648726;15.25;14.83;33.785568;46.522343;26.050928;72.914101;18.237392;20.585514;9.32;39.700191;41.740742;150.789917
2019-09-26;888.5;13.674789;15.29;14.79;34.102722;46.92054;25.533607;72.714516;17.704922;20.049482;9.12;39.274166;42.21244;151.903519
2019-09-27;883.0;13.657413;15.22;14.79;34.169495;46.903938;25.681417;71.962547;17.980036;19.599903;8.99;40.117916;41.723598;152.462906
2019-09-30;906.0;13.779044;15.51;15.18;34.277992;46.970303;25.866177;73.257584;18.193022;19.538919;9.05;40.466759;42.19529;154.682068
2019-10-01;919.5;13.796419;15.67;15.3;33.66037;46.779507;25.450464;70.34166;17.935661;18.728788;8.77;40.677696;42.135258;151.765976
2019-10-02;913.75;13.761669;15.64;15.14;33.151249;46.33984;24.886951;69.648178;17.811422;18.807196;8.77;39.939426;41.406269;149.702698
2019-10-03;911.75;13.796419;15.58;15.17;32.992672;46.281765;24.831522;69.514496;17.509676;18.554571;9.31;39.436424;41.817928;151.151581
2019-10-04;916.25;13.700853;15.64;15.1;33.677067;46.696548;23.916965;68.670639;17.207939;17.95351;9.26;39.322857;41.835079;153.774246
2019-10-07;915.25;13.579222;15.68;15.15;33.201324;46.149044;24.018589;67.726509;17.039324;17.90995;9.09;39.436424;41.946575;152.728836
2019-10-08;920.5;13.657413;15.73;15.38;32.049549;45.145248;24.221827;66.03878;16.462471;16.66427;8.63;39.274174;41.90369;151.279968
2019-10-09;923.75;13.683477;15.78;15.35;32.491894;45.485378;24.175638;66.406403;16.702087;16.132896;7.93;39.97998;41.886543;152.618774
2019-10-10;923.5;13.631349;15.79;14.96;33.192982;45.941647;23.769165;66.774017;17.163568;15.740897;7.25;40.336948;42.152409;153.875092
2019-10-11;936.0;13.813795;15.92;15.43;33.768875;46.630184;24.628292;69.974037;18.388266;16.237427;7.21;41.286156;43.413124;156.763687
2019-10-14;940.5;13.805108;16.0;15.38;33.55188;46.912243;24.323439;68.887856;17.80254;15.871561;6.93;40.661472;41.998032;154.911316
2019-10-15;934.0;13.891988;15.94;15.31;33.66037;47.393391;24.665249;69.380806;17.900164;15.984808;7.03;40.401859;41.663555;158.313461
2019-10-16;928.0;13.857235;15.84;15.3;33.134567;45.958233;24.822289;69.990738;17.80254;15.949964;6.73;40.13414;41.946575;156.864548
2019-10-17;931.5;13.813795;15.87;15.39;33.259754;45.667877;24.72991;70.517113;17.429804;16.010935;6.95;39.833954;41.560646;157.854935
2019-10-18;934.0;13.83986;15.93;15.3;33.08448;45.377533;24.055542;69.355743;17.349928;15.54054;6.78;39.74472;40.968887;159.487213
2019-10-21;933.25;13.813795;15.89;15.21;33.718792;45.750835;23.556696;69.798569;17.278938;15.59281;7.25;39.696045;39.845394;159.588089
2019-10-22;934.0;13.770356;15.89;15.24;33.852341;45.958233;24.000111;68.645569;17.465305;16.002234;7.53;39.428314;39.802502;160.615128
2019-10-23;933.75;13.796419;15.9;15.25;33.994217;45.99971;23.658312;68.954704;17.900164;16.002234;7.86;39.266068;39.296509;160.4776
2019-10-24;933.25;13.761669;15.94;15.17;33.835644;45.327751;24.360392;69.673233;17.678297;15.793162;8.57;39.144371;38.996334;157.827454
2019-10-25;920.25;13.796419;15.75;15.18;34.227924;45.8255;24.692959;70.166206;18.228527;16.054499;8.31;40.036785;39.57095;158.744431
2019-10-28;920.75;13.874613;15.75;15.03;34.469959;46.066078;24.72991;70.207954;18.264023;16.315828;8.35;39.663589;39.305092;158.964508
2019-10-29;918.25;13.831172;15.7;15.07;34.645226;46.61359;24.739145;70.94323;18.290653;16.463921;7.86;40.182808;40.197018;159.661484
2019-10-30;916.0;13.874613;15.7;15.16;33.827309;43.768162;25.385799;76.006432;17.909039;16.185158;7.81;39.606796;40.342812;159.395508
2019-10-31;916.75;13.848547;15.72;15.15;35.087582;44.796822;24.369629;76.449234;17.642797;16.045784;7.91;38.771179;38.893414;159.688965
2019-11-01;924.25;13.961491;15.79;15.1;35.413094;44.97934;24.184872;79.381889;18.33502;16.612003;8.15;39.168705;39.682446;161.495483
2019-11-04;925.75;13.961491;15.81;14.99;35.938896;46.671669;23.778402;80.200676;18.938498;16.829782;8.08;39.92321;40.840229;164.237396
